VIRUS DA VARICELA,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525502702157417,1002900240018,7897337703345,    -     ,    -     ,VACINA VARICELA (ATENUADA)," 1350 UFP PO LIOF SOL INJ CT  FA VD INC + FA VD INC DIL X 0,7 ML",J7E2 - VACINA CONTRA VARICELLA,Novo,Regulado,103.4,103.4,117.9,124.14,124.14,124.9,124.9,125.66,125.66,128.8,142.45,161.87,171.62,171.62,172.67,172.67,173.72,173.72,178.6,Não,Não,Sim,Não,,Positiva,Sim,Tarja  Vermelha
VIRUS DA VARICELA,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525519020021007,1002900240026,00000000000100,5437456192536,    -     ,VACINA VARICELA (ATENUADA)," 1350 UFP PO LIOF SOL INJ CT 10 FA VD INC + 10 FA VD INC DIL X 0,7 ML",J7E2 - VACINA CONTRA VARICELLA,Novo,Regulado,1030.41,1030.41,1170.92,1241.46,1241.46,1248.98,1248.98,1256.6,1256.6,1288.1,1424.48,1618.73,1716.25,1716.25,1726.64,1726.64,1737.18,1737.18,1780.6,Não,Não,Sim,Não,,Positiva,Sim,Tarja  Vermelha
VÍRUS DA HEPATITE A PURIFICADO INATIVADO,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525513100016103,1002900300061,7897337711449,    -     ,    -     ,VAQTA," 50 U SUS INJ IM CT 10 FA VD INC X 1,0 ML",J7E4 - VACINA PARA HEPATITE,Novo,Regulado,874.1,874.1,993.19,1053.2,1053.2,1059.41,1059.41,1065.87,1065.87,1092.51,1208.27,1373.3,1455.74,1455.74,1464.57,1464.57,1473.5,1473.5,1510.33,Não,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha
EZETIMIBA,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525500902116319,1002900760038,7897337704120,    -     ,    -     ,EZETROL,10 MG COM CT BL AL PLAS TRANS X 30,C10A9 - TODOS OUTROS REGULADORES DE COLESTEROL E TRIGLICERÍDEOS,Novo,Regulado,110.42,110.42,125.48,133.4,133.4,133.84,133.84,134.66,134.66,138.3,152.65,173.47,183.92,183.92,185.3,185.3,186.16,186.16,190.82,Não,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha
" VACINA PAPILOMAVÍRUS HUMANO 6, 11, 16 E 18 (RECOMBINANTE)",45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525503601151314,1002901710050,7897337704748,    -     ,    -     ,GARDASIL," SUS INJ CT 01 SER PREENCH VD INC X 0,5 ML ",J7E3 - VACINA CONTRA HPV (PAPILOMAVIRUS HUMANO),Biológico,Regulado,446.4,446.4,506.86,537.4,537.4,540.65,540.65,543.95,543.95,557.55,616.62,700.7,742.92,742.92,747.42,747.42,751.98,751.98,770.78,Não,Não,Sim,Não,,Positiva,Sim,Tarja  Vermelha
VACINA HERPES ZOSTER (ATENUADA),45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525514020016502,1002901740014,7897337712187,    -     ,    -     ,ZOSTAVAX,PO LIOF INJ CT FA VD INC + FA VD INC DIL X 3 ML,J7E2 - VACINA CONTRA VARICELLA,Biológico,Regulado,373.27,373.27,424.17,449.72,449.72,452.45,452.45,455.21,455.21,466.59,516.2,586.39,621.71,621.71,625.49,625.49,629.3,629.3,645.3,Não,Não,Sim,Não,,Positiva,Sim,Tarja  Vermelha
" VACINA ROTAVÍRUS HUMANO/BOVINO G1, G2, G3, G4 E P1 [8] (ATENUADA)",45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525504401138411,1002901750011,7897337704038,    -     ,    -     ,ROTATEQ,SOL ORAL X TUBO PLAS INC X 2 ML,J7E5 - VACINA CONTRA ROTAVÍRUS,Biológico,Regulado,137.63,137.63,156.4,165.82,165.82,166.82,166.82,167.84,167.84,172.4,190.27,216.21,229.24,229.24,230.62,230.62,232.3,232.3,237.84,Não,Não,Sim,Não,,Positiva,Sim,Tarja  Vermelha
ALENDRONATO DE SÓDIO TRI-HIDRATADO;COLECALCIFEROL,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525503502119315,1002901800025,7897337709033,    -     ,    -     ,FOSAMAX D,70 MG/5600 UI COM CT BL AL AL X 4,M5B3 - BISFOSFONATOS PARA OSTEOPOROSE E ALTERAÇÕES RELACIONADAS,Novo,Regulado,108.74,108.74,123.57,131.1,131.1,131.81,131.81,132.61,132.61,135.93,150.33,170.83,181.11,181.11,182.22,182.22,183.33,183.33,187.92,Não,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha
FOSAPREPITANTO DIMEGLUMINA,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525513060015502,1002901840019,7897337708227,    -     ,    -     ,EMEND INJETÁVEL,150 MG PO LIOF SOL INFUS IV CT FA VD TRANS X 10 ML ," A4A2 - ANTIEMÉTICOS E ANTINAUSEANTES, ANTAGONISTAS NK1",Novo,Regulado,246.35,246.35,279.94,296.81,296.81,298.61,298.61,300.43,300.43,307.94,0,0,0,0,0,0,0,0,0,Sim,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha
DAPTOMICINA,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525517100020117,1002901970011,7897337715874,    -     ,    -     ,CUBICIN,500 MG PÓ LIOF INJ CT FR AMP VD TRANS,J1X9 - TODOS OS OUTROS ANTIBIÓTICOS,Novo,Regulado,274.43,274.43,311.85,330.64,330.64,332.64,332.64,334.67,334.67,343.4,379.38,431.11,457.9,457.9,459.86,459.86,462.66,462.66,474.23,Não,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha
